id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,full_country_name
2618,EPMB,medium_airport,22nd Air Base,54.026901,19.134199,16.0,EU,PL,PL-PM,Malbork,no,EPMB,,,,https://en.wikipedia.org/wiki/22nd_Air_Base,Marienburg,Poland
2619,EPMI,medium_airport,Miroslawiec Military Air Base,53.3951,16.0828,459.0,EU,PL,PL-ZP,Mirosławiec,no,EPMI,,,http://www.12blot.pl/,https://en.wikipedia.org/wiki/12th_Air_Base,"12. Baza Lotnicza, Miroslawiec Airport",Poland
2621,EPMM,medium_airport,Minsk Mazowiecki Military Air Base,52.1954994202,21.6558990479,604.0,EU,PL,PL-MZ,,no,EPMM,,,,,,Poland
2622,EPMO,medium_airport,Modlin Airport,52.451099,20.6518,341.0,EU,PL,PL-MZ,Warsaw,yes,EPMO,WMI,,http://modlinairport.pl/,https://en.wikipedia.org/wiki/Warsaw_Modlin_Airport,Nowy Dwor Mazowiecki,Poland
2623,EPOK,medium_airport,Oksywie Military Air Base,54.5797,18.5172,144.0,EU,PL,PL-PM,Gdynia,no,EPOK,,,,https://en.wikipedia.org/wiki/Gdynia-Kosakowo_Airport,"Oksywie Airport, Gdynia-Oksywie, Gdynia-Babie Doły, Gdynia-Kosakowo Airport",Poland
2625,EPPO,medium_airport,Poznań-Ławica Airport,52.421001,16.8263,308.0,EU,PL,PL-WP,Poznań,yes,EPPO,POZ,,http://www.airport-poznan.com.pl/en/,https://en.wikipedia.org/wiki/Pozna%C5%84-%C5%81awica_Airport,,Poland
2627,EPPW,medium_airport,Powidz Military Air Base,52.379398,17.853901,371.0,EU,PL,PL-WP,,no,EPPW,,,,,,Poland
2628,EPRA,medium_airport,Radom Airport,51.389198,21.213301,610.0,EU,PL,PL-MZ,Radom,yes,EPRA,RDO,,http://lotnisko-radom.eu/pl/,https://en.wikipedia.org/wiki/Radom_Airport,"Radom Military Air Base, Radom-Sadków Airport",Poland
2629,EPRZ,medium_airport,Rzeszów-Jasionka Airport,50.109791,22.024155,693.0,EU,PL,PL-PK,Jasionka,yes,EPRZ,RZE,,https://www.rzeszowairport.pl,https://en.wikipedia.org/wiki/Rzesz%C3%B3w-Jasionka_Airport,,Poland
2630,EPSC,medium_airport,"Szczecin-Goleniów ""Solidarność"" Airport",53.584702,14.9022,154.0,EU,PL,PL-ZP,Goleniow,yes,EPSC,SZZ,,http://www.airport.com.pl/en/index.php,https://en.wikipedia.org/wiki/Szczecin-Goleni%C3%B3w_%22Solidarno%C5%9B%C4%87%22_Airport,,Poland
2633,EPSN,medium_airport,Swidwin Military Air Base,53.790599823,15.8262996674,385.0,EU,PL,PL-ZP,,no,EPSN,,,,,,Poland
2635,EPSY,medium_airport,Olsztyn-Mazury Airport,53.481899,20.9377,463.0,EU,PL,PL-WN,Olsztyn,yes,EPSY,SZY,,http://mazuryairport.pl/,https://en.wikipedia.org/wiki/Olsztyn-Mazury_Airport,,Poland
31016,EPTM,medium_airport,Tomaszow Mazowiecki Military Air Base,51.5844,20.097799,571.0,EU,PL,PL-LD,Tomaszów Mazowiecki,no,EPTM,,,,,,Poland
2637,EPWA,large_airport,Warsaw Chopin Airport,52.1656990051,20.9671001434,362.0,EU,PL,PL-MZ,Warsaw,yes,EPWA,WAW,,http://www.lotnisko-chopina.pl/?lang=en,https://en.wikipedia.org/wiki/Warsaw_Frederic_Chopin_Airport,Okęcie,Poland
2638,EPWR,medium_airport,Copernicus Wrocław Airport,51.103719,16.882096,404.0,EU,PL,PL-DS,Wrocław,yes,EPWR,WRO,,http://www.airport.wroclaw.pl/en/index.php,https://en.wikipedia.org/wiki/Copernicus_Airport_Wroc%C5%82aw,"Strachowice, Breslau, Wroclaw",Poland
2639,EPZG,medium_airport,Zielona Góra-Babimost Airport,52.1385002136,15.7986001968,194.0,EU,PL,PL-LB,Babimost,yes,EPZG,IEG,,http://www.lotnisko.zielonagora.pl/,https://en.wikipedia.org/wiki/Zielona_G%C3%B3ra_Airport,,Poland
320825,ES-0109,medium_airport,Folgueroles Airfield,41.9527,2.3072,1670.0,EU,ES,ES-CT,Folgueroles,no,,,,,,Osona,Spain
2643,ESCF,medium_airport,Malmen Air Base,58.40230178833008,15.525699615478516,308.0,EU,SE,SE-E,Linköping,no,ESCF,,,,,,Sweden
2646,ESDF,medium_airport,Ronneby Airport,56.266701,15.265,191.0,EU,SE,SE-K,Ronneby,yes,ESDF,RNB,,https://www.swedavia.com/ronneby/,https://en.wikipedia.org/wiki/Ronneby_Airport,,Sweden
2647,ESFR,medium_airport,Råda Air Base,58.49810028076172,13.053199768066406,230.0,EU,SE,SE-Q,Råda,no,ESFR,,,,,,Sweden
2648,ESGG,large_airport,Gothenburg-Landvetter Airport,57.662799835205,12.279800415039,506.0,EU,SE,SE-Q,Gothenburg,yes,ESGG,GOT,,https://www.swedavia.com/landvetter/,https://en.wikipedia.org/wiki/Gothenburg-Landvetter_Airport,Göteborg-Landvetter,Sweden
